id,destinationTable,participant,sourceTable,statement,submitTime
670,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 1850 & CFR < 1650","2019-07-11 15:51:13.728000"
671,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 1850","2019-07-11 15:51:29.536000"
673,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 1850 %% CFR < 1650","2019-07-11 15:52:09.928000"
674,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 1850 && CFR < 1650","2019-07-11 15:52:19.647000"
676,charlied,306,charlie,"SELECT * FROM charlie WHERE TFR < 2000 && CFR < 1650","2019-07-11 15:53:01.888000"
678,golfd,1007,golf,"select distinct sver from golf where sver <= 1996","2019-07-11 15:54:59.431000"
679,indiad,306,india,"SELECT * FROM juliett a, india b WHERE a.CUI = b.CUI","2019-07-11 15:54:15.557000"
681,foxtrotd,50,foxtrot,foxtrot,"2019-07-11 15:54:37.801000"
682,golfd,1007,golf,"select distinct sver from golf where sver < 1996","2019-07-11 15:55:18.130000"
683,alphad,105,alpha,"select * from alpha where MIN = 0","2019-07-11 15:55:17.558000"
686,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI","2019-07-11 15:55:22.094000"
689,bravod,4060,bravo,"SELECT RUI FROM bravo WHERE CUI1 = 'C0000039'","2019-07-11 15:55:54.560000"
694,hoteld,1119,hotel,"SELECT CUI, TUI from hotel ORDER BY TUI DESC","2019-07-11 15:56:16.549000"
695,echod,50,echo,echo,"2019-07-11 15:56:22.927000"
699,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI GROUP BY CVF","2019-07-11 15:56:33.272000"
700,hoteld,1119,hotel,"SELECT CUI, STN, TUI from hotel ORDER BY TUI DESC","2019-07-11 15:56:34.209000"
701,bravod,4060,bravo,"SELECT RUI FROM bravo WHERE CUI1 == 'C0000039'","2019-07-11 15:56:36.992000"
702,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI GROUP BY CUI","2019-07-11 15:56:42.718000"
704,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot","2019-07-11 15:56:49.157000"
705,hoteld,1119,hotel,"SELECT CUI, TUI from hotel ORDER BY TUI DESC, STN","2019-07-11 15:56:51.845000"
707,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI GROUP BY STT","2019-07-11 15:56:58.359000"
709,hoteld,1119,hotel,"SELECT CUI,TUI, STN, TUI from hotel ORDER BY TUI DESC","2019-07-11 15:57:10.314000"
710,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI GROUP BY ISPREF","2019-07-11 15:57:13.638000"
716,foxtrotd,5250,foxtrot,"SELECT mrrank_rank, sab, tty, suppress FROM foxtrot ORDER BY mrrank_rank ASC","2019-07-11 15:57:30.678000"
717,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE TTY = PT, TTY = SY","2019-07-11 15:57:32.269000"
719,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE TTY = PT","2019-07-11 15:57:37.649000"
721,bravod,200,bravo,"SELECT REL FROM bravo where rel='RO';","2019-07-11 15:57:39.542000"
723,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI && TS = 'S'","2019-07-11 15:57:46.988000"
724,bravod,4060,bravo,"SELECT RUI FROM sqlsearchdata.bravo WHERE CUI1 = 'C0000039'","2019-07-11 15:57:51.334000"
725,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett a, india b WHERE a.CUI = b.CUI && TS = 'P'","2019-07-11 15:57:55.174000"
728,hoteld,1119,hotel,"SELECT CUI, TUI from hotel, STN ORDER BY TUI DESC","2019-07-11 15:58:04.977000"
732,foxtrotd,50,foxtrot,"SELECT TTY FROM foxtrot","2019-07-11 15:58:11.532000"
733,hoteld,1119,hotel,"SELECT CUI, STN, TUI from hotelORDER BY TUI DESC","2019-07-11 15:58:14.231000"
737,bravod,200,bravo,"SELECT * FROM bravo where REL='RO';","2019-07-11 15:58:34.482000"
738,foxtrotd,50,foxtrot,"SELECT TTY FROM foxtrot WHERE foxtrot.tty = PT","2019-07-11 15:58:38.005000"
740,deltad,17,delta,"select RSAB, tfr from delta","2019-07-11 15:58:51.876000"
742,hoteld,1119,hotel,"SELECT * TUI from hotel ORDER BY TUI DESC","2019-07-11 15:59:04.553000"
743,foxtrotd,50,foxtrot,"SELECT TTY FROM foxtrot WHERE foxtrot.pt = tty","2019-07-11 15:59:04.587000"
744,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett, india  WHERE juliett.CUI = india.CUI","2019-07-11 15:59:12.911000"
746,indiad,306,india,"SELECT LAT, STT, ISPREF FROM juliett, india WHERE juliett.CUI = india.CUI","2019-07-11 15:59:20.004000"
747,hoteld,1119,hotel,"SELECT TUI from hotel ORDER BY TUI DESC","2019-07-11 15:59:28.174000"
749,bravod,200,bravo,"SELECT * FROM bravo where REL='RO';","2019-07-11 15:59:30.204000"
750,foxtrotd,5250,foxtrot,"SELECT mrrank_rank, sab, tty, suppress FROM foxtrot WHERE tty = 'PT', 'SY'","2019-07-11 15:59:43.153000"
752,hoteld,1119,hotel,"SELECT CUI, TUI, STN from hotel ORDER BY TUI DESC","2019-07-11 15:59:46.621000"
753,foxtrotd,50,foxtrot,"SELECT * FROM foxtrot WHERE tty","2019-07-11 15:59:55.560000"
755,bravod,4060,bravo,"SELECT CUI1 FROM bravo WHERE CUI1 = 'C0000039'","2019-07-11 15:59:56.138000"
758,kilod,109,kilo,"SELECT LUI, CUI FROM kilo GROUP BY LUI","2019-07-11 15:59:58.491000"
