id,destinationTable,participant,sourceTable,statement,submitTime,canBeDisplayed,correct,count,problem
2415,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta","2020-09-29 14:12:18.415000",0,0,0,"Problem 4"
2416,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta;","2020-09-29 14:12:32.003000",0,0,0,"Problem 4"
2417,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta;","2020-09-29 14:12:35.914000",0,0,0,"Problem 4"
2420,NULL,16663250,NULL,"SELECT SVER, FROM golf, WHERE SVER < 1996","2020-09-29 14:15:26.427000",0,0,0,"Problem 7"
2424,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta WHERE TTYL contains 'PT';","2020-09-29 14:16:09.709000",0,0,0,"Problem 4"
2425,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta WHERE TTYL = 'PT';","2020-09-29 14:16:17.240000",0,0,0,"Problem 4"
2426,NULL,16663250,NULL,"SELECT SVER FROM golf WHERE SVER < 1996","2020-09-29 14:16:22.133000",0,0,0,"Problem 7"
2428,NULL,16663250,NULL,"SELECT DISTINCT SVER FROM golf WHERE SVER < 1996","2020-09-29 14:17:05.560000",0,1,0,"Problem 7"
2429,NULL,16441753,NULL,"SELECT RSAB, TFR WHERE TTYL = 'PT' FROM delta;","2020-09-29 14:17:29.668000",0,0,0,"Problem 4"
2433,NULL,899324,NULL,"SELECT DISTINCT CUI1, RUI FROM bravo WHERE REL = "RO"","2020-09-29 14:17:55.688000",0,0,0,"Problem 2"
2437,NULL,15877846,NULL,"SELECT * FROM alpha WHERE Min=0;","2020-09-29 14:18:06.628000",0,1,0,"Problem 1"
2442,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta WHERE TTYL LIKE  'PT' ;","2020-09-29 14:18:54.456000",0,0,0,"Problem 4"
2446,NULL,899324,NULL,"SELECT DISTINCT CUI1, RUI FROM bravo WHERE REL IN ("RO", "AY")","2020-09-29 14:19:16.454000",0,0,0,"Problem 2"
2451,NULL,899324,NULL,"SELECT DISTINCT CUI1, RUI FROM bravo WHERE REL IN ("RO", "AY")","2020-09-29 14:19:25.866000",0,0,0,"Problem 2"
2452,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta WHERE TTYL LIKE  PT ;","2020-09-29 14:19:30.098000",0,0,0,"Problem 4"
2455,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta WHERE TTYL LIKE  'PT' ;","2020-09-29 14:19:37.351000",0,0,0,"Problem 4"
2456,NULL,899324,NULL,"SELECT DISTINCT CUI1, RUI FROM bravo WHERE REL IN ("RO", "SY")","2020-09-29 14:19:41.288000",0,0,0,"Problem 2"
2466,NULL,899324,NULL,"SELECT DISTINCT CUI1, RUI FROM bravo WHERE REL = "RO"","2020-09-29 14:19:54.458000",0,0,0,"Problem 2"
2472,NULL,899324,NULL,"SELECT DISTINCT CUI1, RUI FROM bravo WHERE REL IN ("RO", "SY")","2020-09-29 14:20:28.143000",0,0,0,"Problem 2"
2478,NULL,19275509,NULL,"SELECT min FROM alpha WHERE min = 0","2020-09-29 14:20:35.700000",0,0,0,"Problem 1"
2484,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta WHERE TTYL LIKE  'PT' WHERE TFR < 2000;","2020-09-29 14:20:41.040000",0,0,0,"Problem 4"
2490,NULL,899324,NULL,"SELECT DISTINCT CUI1, RUI FROM bravo WHERE REL IN ("RO")","2020-09-29 14:20:55.212000",0,0,0,"Problem 2"
2491,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta WHERE TTYL LIKE  '%PT%' WHERE TFR < 2000;","2020-09-29 14:20:57.771000",0,0,0,"Problem 4"
2494,NULL,16441753,NULL,"SELECT RSAB, TFR FROM delta WHERE TTYL LIKE  '%PT%' ;","2020-09-29 14:21:04.888000",0,0,0,"Problem 4"
